driver,race,points
Felipe Massa,Mexican Grand Prix,2
Sergio Prez,Mexican Grand Prix,1
Lewis Hamilton,Brazilian Grand Prix,25
Nico Rosberg,Brazilian Grand Prix,18
Max Verstappen,Brazilian Grand Prix,15
Sergio Prez,Brazilian Grand Prix,12
Sebastian Vettel,Brazilian Grand Prix,10
Carlos Sainz,Brazilian Grand Prix,8
Nico Hlkenberg,Brazilian Grand Prix,6
Daniel Ricciardo,Brazilian Grand Prix,4
Felipe Nasr,Brazilian Grand Prix,2
Fernando Alonso,Brazilian Grand Prix,1
Lewis Hamilton,Abu Dhabi Grand Prix,25
Nico Rosberg,Abu Dhabi Grand Prix,18
Sebastian Vettel,Abu Dhabi Grand Prix,15
Max Verstappen,Abu Dhabi Grand Prix,12
Daniel Ricciardo,Abu Dhabi Grand Prix,10
Kimi Rikknen,Abu Dhabi Grand Prix,8
Nico Hlkenberg,Abu Dhabi Grand Prix,6
Sergio Prez,Abu Dhabi Grand Prix,4
Felipe Massa,Abu Dhabi Grand Prix,2
Fernando Alonso,Abu Dhabi Grand Prix,1
