Year,Country / territory of asylum/residence,Location Name,Female 0-4,Female 5-11,Female 5-17,Female 12-17,Female 18-59,Female 60+,F: Unknown,F: Total,Male 0-4,Male 5-11,Male 5-17,Male 12-17,Male 18-59,Male 60+,M: Unknown,M: Total
2010,Afghanistan,Ghor : Wilayat - Province,404,536,,355,956,53,0,2304,421,566,,374,979,89,0,2429
2010,Afghanistan,Ghazni : Wilayat - Province,952,4478,,1655,5266,360,0,12711,934,4731,,1918,5311,579,0,13473
2010,Afghanistan,Faryab : Wilayat - Province,1543,2581,,1607,4777,296,0,10804,1647,2716,,1662,4855,497,0,11377
2010,Afghanistan,Farah : Wilayat - Province,2187,2963,,1880,5149,274,0,12453,2284,3094,,2017,4805,461,0,12661
2010,Afghanistan,Day Kundi : Wolaswalei - District,16,20,,13,35,2,0,86,16,21,,14,33,3,0,87
2010,Afghanistan,Day Kundi : Wilayat - Province,54,381,,195,554,32,0,1216,50,381,,248,575,45,0,1299
2010,Afghanistan,Bamyan : Wilayat - Province,56,144,,105,382,30,0,717,36,158,,144,465,53,0,856
2010,Afghanistan,Balkh : Wilayat - Province,713,1952,,1138,3478,252,0,7533,763,2005,,1247,3515,387,0,7917
2010,Afghanistan,Baghlan : Wilayat - Province,879,3200,,1797,4925,275,0,11076,896,3260,,1984,4890,470,0,11500
2010,Afghanistan,Badghis : Wilayat - Province,781,1065,,685,1914,110,0,4555,806,1109,,733,1756,153,0,4557
2010,Afghanistan,Badakhshan : Wilayat - Province,20,110,,58,158,10,0,356,24,107,,106,814,19,0,1070
2010,Afghanistan,Afghanistan : Dispersed in the country / territory,0,0,,0,0,0,18,18,0,0,,0,0,0,31,31
2010,Afghanistan,Various,27774,36662,,37538,168532,34330,0,304836,28171,34279,,36740,160053,34378,0,293621
2010,Eritrea,Emkulu : Point,499,431,,262,829,38,0,2059,514,439,,279,1355,45,0,2632
2010,Eritrea,Elit : Point,24,10,,8,16,0,0,58,25,21,,6,61,2,0,115
2010,Eritrea,Asmara : Point,7,9,,2,18,0,0,36,10,9,,3,24,0,0,46
2010,Gambia,Gambia : Dispersed in the country / territory,54,69,,41,184,10,0,358,45,67,,25,125,0,51,313
2010,Gambia,Basse : Point,6,2,,7,34,12,0,61,11,23,,8,24,0,7,73
2010,Gambia,Banjul : ADMIN_1,676,890,,509,1637,245,0,3957,710,867,,610,1320,0,183,3690
2010,Iran (Islamic Rep. of),Zanjan-Sultanieh,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0
2010,Iran (Islamic Rep. of),Yazd-Yazd,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0
2010,Iran (Islamic Rep. of),West Azarbayjan-Sardasht,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0
2010,Iran (Islamic Rep. of),West Azarbayjan-Piranshahr,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0
2010,Iran (Islamic Rep. of),West Azarbayjan-Orumieh,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0
2010,Iran (Islamic Rep. of),Semnan-Semnan,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0
2010,Iran (Islamic Rep. of),Markazi-Saveh,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0
2010,Iran (Islamic Rep. of),Markazi,1,2,,4,11,0,0,18,3,9,,2,16,0,0,30
2010,Iran (Islamic Rep. of),Lorestan-Azna,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0
2010,Iran (Islamic Rep. of),Kurdestan-Kamyaran,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0
2010,Iran (Islamic Rep. of),Khuzestan-Shushtar,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0
2010,Iran (Islamic Rep. of),Khuzestan-Andimeshk,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0
2010,Iran (Islamic Rep. of),Khuzestan,0,1,,0,3,0,0,4,1,0,,0,3,0,0,4
2010,Iran (Islamic Rep. of),Khorasan Razavi-Torbat e jam,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0
2010,Iran (Islamic Rep. of),Khorasan Razavi,0,14,,16,49,3,0,82,0,18,,22,66,4,0,110
2010,Iran (Islamic Rep. of),Kermanshah-Songhor,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0
2010,Iran (Islamic Rep. of),Kermanshah-Kangavar,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0
2010,Iran (Islamic Rep. of),Kerman-Rafsanjan,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0
2010,Iran (Islamic Rep. of),Kerman-Bardsir,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0
2010,Iran (Islamic Rep. of),Fars-Sarvestan,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0
2010,Iran (Islamic Rep. of),Fars-Jahrom,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0
2010,Iran (Islamic Rep. of),Esfahan,0,0,,1,1,0,0,2,0,0,,1,3,0,0,4
2010,Iran (Islamic Rep. of),Dispersed in the country,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0
2010,Iran (Islamic Rep. of),Tehran,4,121,,150,408,19,0,702,5,139,,163,518,35,0,860
2010,Iran (Islamic Rep. of),Kerman,0,1,,1,4,0,0,6,0,1,,1,5,0,0,7
2010,Iran (Islamic Rep. of),Ghom,1,2,,2,4,0,0,9,1,2,,2,10,0,0,15
2010,Iran (Islamic Rep. of),Fars,0,0,,0,0,0,0,0,0,0,,1,2,0,0,3
2010,Iraq,Wassit,3782,4221,,4221,13538,1315,0,27077,3947,4357,,4357,13923,1152,0,27736
2010,Iraq,Thi-Qar,3560,3973,,3973,12745,1239,0,25490,3715,4102,,4102,13106,1084,0,26109
2010,Iraq,Sulaymaniyah,6,6,,6,20,2,0,40,6,6,,6,20,2,0,40
2010,Iraq,Sulaimaniya   ,2954,3559,,3551,11387,1066,0,22517,3113,3658,,3675,11767,975,0,23188
2010,Iraq,Salah al-Din,3184,3553,,3553,11401,1109,0,22800,3323,3669,,3669,11724,970,0,23355
2010,Iraq,Qadissyah,1876,2094,,2094,6717,653,0,13434,1958,2163,,2163,6907,571,0,13762
2010,Iraq,Ninewa,12509,13967,,13958,44801,4352,0,89587,13055,14420,,14414,46058,3810,0,91757
2010,Iraq,Najaf,3136,3501,,3499,11221,1091,0,22448,3271,3612,,3612,11541,954,0,22990
2010,Iraq,Muthanna,1084,1211,,1211,3883,377,0,7766,1132,1250,,1250,3993,330,0,7955
2010,Iraq,Missan,2899,3235,,3236,10376,1008,0,20754,3025,3340,,3340,10675,882,0,21262
2010,Iraq,Makhmwr,989,1035,,1049,1649,777,0,5499,1061,1047,,1152,1540,802,0,5602
2010,Iraq,Kirkuk,3430,3825,,3825,12274,1193,0,24547,3578,3951,,3951,12624,1043,0,25147
2010,Iraq,Kerbala,3595,4012,,4011,12870,1250,0,25738,3751,4144,,4142,13233,1094,0,26364
2010,Iraq,Erbil,3168,3667,,3627,11672,1096,0,23230,3324,3772,,3751,12198,966,0,24011
2010,Iraq,Dohuk   ,6329,7121,,6917,21825,2112,0,44304,6624,7421,,7133,22560,1857,0,45595
2010,Iraq,Diyala,11192,12492,,12495,40078,3897,0,80154,11678,12895,,12897,41215,3406,0,82091
2010,Iraq,Dahuk,12,14,,14,44,4,0,88,13,14,,14,46,4,0,91
2010,Iraq,Basrah,2600,2919,,2919,9334,908,0,18680,2713,3009,,3002,9617,792,0,19133
2010,Iraq,Baghdad,29175,32846,,32893,106263,10519,0,211696,30471,33867,,33933,109389,9290,0,216950
2010,Iraq,Babylon,3864,4313,,4313,13834,1347,0,27671,4032,4452,,4452,14229,1176,0,28341
2010,Iraq,Anbar/Al-Waleed : Point,20,53,,47,99,10,0,229,27,54,,37,166,21,0,305
2010,Iraq,Anbar,3770,4208,,4208,13498,1311,0,26995,3934,4345,,4345,13881,1147,0,27652
2010,Mali,Sikasso : Point,795,1400,,686,2021,144,0,5046,864,1455,,698,2187,218,0,5422
2010,Mali,Kayes : Point,4,3,,2,15,1,0,25,6,5,,4,8,0,0,23
2010,Mali,Faragouana : Point,0,0,,0,0,0,0,0,0,0,,0,27,0,0,27
2010,Mali,Bamako : Point,157,149,,241,1027,18,0,1592,159,193,,239,2501,34,0,3126
2010,Russian Federation,Sankt-peterburg : Oblast - Region,0,0,,1,0,0,0,1,0,0,,0,17,0,0,17
2010,Russian Federation,Russian Federation : Dispersed in the country / territory,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0
2010,Russian Federation,Moskva : Oblast - Region,5,5,,9,36,0,0,55,5,8,,301,7,0,0,321
2010,Russian Federation,Chechnya Rep. : Republic,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0
2010,Somalia,Woqooyi Galbeed : Gobolka - Region,4075,3805,,2448,7067,542,0,17937,3805,4075,,2448,6524,541,0,17393
2010,Somalia,Togdheer : Gobolka - Region,2971,2774,,1785,5152,396,0,13078,2774,2971,,1785,4759,395,0,12684
2010,Somalia,Sool : Gobolka - Region,556,519,,334,966,74,0,2449,520,556,,334,890,74,0,2374
2010,Somalia,Shabelle Hoose : Gobolka - Region,57240,53430,,34344,99231,7629,0,251874,53430,57240,,34344,91593,7629,0,244236
2010,Somalia,Shabelle Dhexe : Gobolka - Region,5995,5596,,3597,10393,799,0,26380,5596,5995,,3597,9593,799,0,25580
2010,Somalia,Sanaag : Gobolka - Region,105,98,,63,182,14,0,462,98,105,,63,168,14,0,448
2010,Somalia,Nugaal : Gobolka - Region,742,684,,431,1370,98,0,3325,707,733,,444,1443,99,0,3426
2010,Somalia,Mudug : Gobolka - Region,9666,9016,,5788,16785,1285,0,42540,9030,9657,,5793,15530,1297,0,41307
2010,Somalia,Juba Hoose : Gobolka - Region,2973,2775,,1784,5154,397,0,13083,2775,2973,,1784,4758,397,0,12687
2010,Somalia,Juba Dhexe : Gobolka - Region,90,84,,54,156,12,0,396,84,90,,54,144,12,0,384
2010,Somalia,Hiraan : Gobolka - Region,5906,5501,,3544,10230,790,0,25971,5507,5906,,3544,9442,790,0,25189
2010,Somalia,Gedo : Gobolka - Region,7599,7085,,4559,13153,1017,0,33413,7085,7599,,4559,12147,1017,0,32407
2010,Somalia,Galgaduud : Gobolka - Region,17219,16041,,10330,29820,2304,0,75714,16054,17219,,10330,27526,2307,0,73436
2010,Somalia,Bari : Gobolka - Region,5888,5467,,3501,10303,783,0,25942,5468,5849,,3492,9952,784,0,25545
2010,Somalia,Bakool : Gobolka - Region,650,606,,390,1127,86,0,2859,606,650,,390,1040,87,0,2773
2010,Somalia,Awdal : Gobolka - Region,15,14,,9,26,2,0,66,14,15,,9,24,2,0,64
2010,Somalia,Puntland : Point,1,3,,2,6,0,0,12,3,0,,1,1,0,0,5
2010,Somalia,Hargeisa : Point,355,371,,159,1066,9,11020,12980,343,410,,164,1355,26,7346,9644
2010,Somalia,Bay,4597,4286,,2758,7958,615,0,20214,4286,4597,,2758,7349,616,0,19606
2010,Somalia,Banadir : District,42915,40000,,25766,74392,5748,0,188821,40037,42944,,25766,68644,5748,0,183139
2010,Serbia and Kosovo (S/RES/1244 (1999)),Vojvodina,0,685,,1721,12619,8725,0,23750,0,773,,1856,14975,5147,0,22751
2010,Serbia and Kosovo (S/RES/1244 (1999)),Serbia : Dispersed in the country / territory,1000,800,,800,1550,100,0,4250,1000,800,,800,1550,100,0,4250
2010,Serbia and Kosovo (S/RES/1244 (1999)),Kosovo (Serbia),1202,1358,,1357,4340,1459,0,9716,1271,1407,,1376,5575,1462,0,11091
2010,Serbia and Kosovo (S/RES/1244 (1999)),Central and Southern Serbia,5,4850,,7253,41911,15693,0,69712,6,5189,,7580,42644,12385,0,67804
2010,Serbia and Kosovo (S/RES/1244 (1999)),Belgrade,32,3031,,4903,29376,13470,0,50812,25,3211,,5330,31015,9229,0,48810
2010,Syrian Arab Rep.,Syrian Arab Republic : Dispersed in the country / territory,170,279,,280,1057,130,0,1916,163,301,,293,1296,0,114,2167
2010,Syrian Arab Rep.,Al Qunaytirah,0,1,,3,6,0,0,10,1,0,,1,7,0,1,10
2010,Syrian Arab Rep.,Al Ladhiqiyah,41,108,,83,322,51,0,605,54,124,,112,439,0,52,781
2010,Syrian Arab Rep.,Tartus,27,57,,74,215,21,0,394,29,81,,71,235,0,34,450
2010,Syrian Arab Rep.,Khorasan,0,1,,1,1,0,0,3,0,0,,0,1,0,0,1
2010,Syrian Arab Rep.,Idlib,31,59,,55,158,14,0,317,42,70,,57,179,0,19,367
2010,Syrian Arab Rep.,Hims,212,378,,322,1165,142,0,2219,215,367,,335,1205,0,168,2290
2010,Syrian Arab Rep.,Hamah,15,36,,38,118,15,0,222,32,41,,41,123,0,16,253
2010,Syrian Arab Rep.,Halab,371,692,,631,2206,261,0,4161,393,689,,603,2525,0,289,4499
2010,Syrian Arab Rep.,Dimashq,4145,7583,,7004,29088,4037,0,51857,4316,8237,,7310,34799,0,4104,58766
2010,Syrian Arab Rep.,Dayr az Zawr,136,206,,134,505,33,0,1014,153,198,,174,471,0,43,1039
2010,Syrian Arab Rep.,Dar'a,104,206,,152,476,46,0,984,126,199,,189,466,0,42,1022
2010,Syrian Arab Rep.,As Suwayda,1,1,,5,17,2,0,26,0,3,,6,15,0,1,25
2010,Syrian Arab Rep.,Ar Raqqah,22,30,,17,51,5,0,125,26,28,,20,58,0,2,134
2010,Syrian Arab Rep.,Al Hol,23,29,,37,104,9,0,202,31,25,,21,145,0,11,233
2010,Syrian Arab Rep.,Al Haskah,462,685,,497,1784,214,0,3642,472,762,,492,1514,0,149,3389
2011,Afghanistan,Zabul : Wilayat - Province,793,1513,,964,2945,130,0,6345,839,1543,,1002,2800,248,0,6432
2011,Afghanistan,Wardak : Wilayat - Province,1115,1989,,1589,4832,195,0,9720,1156,2056,,1572,4549,384,0,9717
2011,Afghanistan,Uruzgan : Wilayat - Province,2826,4076,,3191,10014,431,0,20538,2990,4016,,3051,9422,734,0,20213
2011,Afghanistan,Takhar : Wilayat - Province,735,1722,,946,2689,139,0,6231,747,1794,,1017,3113,247,0,6918
2011,Afghanistan,Sari Pul : Wilayat - Province,946,1769,,1280,3471,275,0,7741,923,1720,,1128,3308,259,0,7338
2011,Afghanistan,Samangan : Wilayat - Province,235,581,,341,944,77,0,2178,249,596,,324,918,61,0,2148
2011,Afghanistan,Parwan : Wilayat - Province,707,1798,,1168,3254,127,0,7054,740,1913,,1239,3448,243,0,7583
2011,Afghanistan,Panjsher : Wilayat - Province,29,42,,34,90,4,0,199,27,42,,33,88,5,0,195
2011,Afghanistan,Paktya : Wilayat - Province,1336,4334,,2735,7315,384,0,16104,1471,4373,,2991,5984,741,0,15560
2011,Afghanistan,Paktika : Wilayat - Province,309,774,,471,1383,60,0,2997,328,807,,486,1340,101,0,3062
2011,Afghanistan,Nuristan : Wilayat - Province,258,415,,309,959,41,0,1982,271,394,,301,907,70,0,1943
2011,Afghanistan,Nimroz : Wilayat - Province,20,62,,46,112,10,0,250,40,82,,47,138,16,0,323
2011,Afghanistan,Nangarhar : Wilayat - Province,20800,67372,,37813,94214,4552,0,224751,21210,69187,,40706,91834,6993,0,229930
2011,Afghanistan,Logar : Wilayat - Province,1326,5183,,3241,8089,405,0,18244,1406,5448,,3398,7096,679,0,18027
2011,Afghanistan,Laghman : Wilayat - Province,3276,9098,,5347,13235,576,0,31532,3184,9335,,5965,13085,1022,0,32591
2011,Afghanistan,Kunduz : Wilayat - Province,3485,10425,,5538,14553,729,0,34730,3700,10773,,5896,14156,1151,0,35676
2011,Afghanistan,Kunar : Wilayat - Province,4018,9097,,5757,14778,648,0,34298,4101,9567,,6152,14566,1174,0,35560
2011,Afghanistan,Khost : Wilayat - Province,1256,2541,,1833,5387,274,0,11291,1354,2685,,1963,5014,453,0,11469
2011,Afghanistan,Kapisa : Wilayat - Province,419,762,,567,1607,63,0,3418,436,768,,567,1605,123,0,3499
2011,Afghanistan,Kandahar : Wilayat - Province,6731,12808,,7883,23886,1161,0,52469,7053,12979,,8290,22903,1837,0,53062
2011,Afghanistan,Kabul : Wilayat - Province,6454,18533,,12704,37243,1954,0,76888,6768,19440,,13781,34916,3133,0,78038
2011,Afghanistan,Jawzjan : Wilayat - Province,1670,3723,,2484,8280,790,0,16947,1728,3643,,2405,8114,639,0,16529
2011,Afghanistan,Hirat : Wilayat - Province,6132,8880,,7268,23232,1014,0,46526,6615,8878,,6865,23219,1746,0,47323
2011,Afghanistan,Hilmand : Wilayat - Province,5929,9192,,6795,20766,929,0,43611,6282,9231,,6726,19661,1600,0,43500
2011,Afghanistan,Ghor : Wilayat - Province,860,1222,,996,3108,130,0,6316,919,1214,,943,3013,229,0,6318
2011,Afghanistan,Ghazni : Wilayat - Province,1684,5555,,2586,8283,486,0,18594,1714,5789,,2774,8147,791,0,19215
2011,Afghanistan,Faryab : Wilayat - Province,2967,4688,,3462,11266,647,0,23030,3068,4564,,3345,10471,801,0,22249
2011,Afghanistan,Farah : Wilayat - Province,1463,2114,,1670,5036,227,0,10510,1547,2145,,1595,4742,373,0,10402
2011,Afghanistan,Day Kundi : Wolaswalei - District,121,475,,271,793,42,0,1702,121,474,,320,801,62,0,1778
2011,Afghanistan,Day Kundi : Wilayat - Province,20,27,,18,70,2,0,137,19,24,,15,63,9,0,130
2011,Afghanistan,Bamyan : Wilayat - Province,86,182,,136,489,41,0,934,60,194,,162,560,63,0,1039
2011,Afghanistan,Balkh : Wilayat - Province,995,2293,,1413,4334,302,0,9337,1030,2344,,1493,4365,455,0,9687
2011,Afghanistan,Baghlan : Wilayat - Province,1069,3445,,1944,5480,307,0,12245,1158,3524,,2166,5448,530,0,12826
2011,Afghanistan,Badghis : Wilayat - Province,565,831,,651,1993,83,0,4123,585,820,,628,1961,151,0,4145
2011,Afghanistan,Afghanistan : Dispersed in the country / territory,129,917,,470,1333,77,,2926,129,917,,470,1286,77,,2879
2011,Afghanistan,Panjsher : Wolaswalei - District,14,47,,40,110,4,,215,17,49,,43,128,9,,246
2011,Afghanistan,Badakhshan : Wilayat - Province,29,120,,62,178,10,,399,30,117,,116,844,22,,1129
2011,Eritrea,Eritrea : Dispersed in the country / territory,1,,,,1,,,2,,,,,5,,,5
2011,Eritrea,Emkulu : Point,1015,370,,320,555,98,0,2358,917,363,,298,529,7,0,2114
2011,Eritrea,Elit : Point,9,18,,19,18,8,0,72,11,20,,15,50,5,0,101
2011,Eritrea,Asmara : Point,9,8,,3,16,0,0,36,8,10,,5,14,1,0,38
2011,Gambia,Gambia : Dispersed in the country / territory,134,143,,109,529,28,,943,120,169,,85,488,61,,923
2011,Gambia,Fogni area,653,881,,487,1733,263,,4017,716,865,,604,1291,195,,3671
2011,Iran (Islamic Rep. of),Yazd : Shahrestan - County,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0
2011,Iran (Islamic Rep. of),Tehran : Shahrestan - County,2,17,,46,102,3,0,170,13,25,,76,146,5,0,265
2011,Iran (Islamic Rep. of),Sultanieh : Point,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0
2011,Iran (Islamic Rep. of),Sonqor : Shahrestan - County,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0
2011,Iran (Islamic Rep. of),Shushtar : Shahrestan - County,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0
2011,Iran (Islamic Rep. of),Semnan : Point,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0
2011,Iran (Islamic Rep. of),Sardasht : Shahrestan - County,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0
2011,Iran (Islamic Rep. of),Rafsanjan : Shahrestan - County,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0
2011,Iran (Islamic Rep. of),Piranshahr : Shahrestan - County,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0
2011,Iran (Islamic Rep. of),Orumiiyh : Shahrestan - County,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0
2011,Iran (Islamic Rep. of),Markazi : Point,1,2,,4,11,0,0,18,3,9,,2,16,0,0,30
2011,Iran (Islamic Rep. of),Khorasan : Ostan - Province,0,0,,3,5,0,0,8,0,2,,5,11,0,0,18
2011,Iran (Islamic Rep. of),Kerman : Shahrestan - County,0,0,,0,3,0,0,3,0,0,,0,5,0,0,5
2011,Iran (Islamic Rep. of),Kamyaran : Shahrestan - County,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0
2011,Iran (Islamic Rep. of),Jahrom : Shahrestan - County,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0
2011,Iran (Islamic Rep. of),Iran  (Islamic Republic of) : Dispersed in the country / territo,0,1,,0,3,0,0,4,1,0,,0,3,0,0,4
2011,Iran (Islamic Rep. of),Fars : Shahrestan - County,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0
2011,Iran (Islamic Rep. of),Bardsir : Shahrestan - County,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0
2011,Iran (Islamic Rep. of),Azna : Point,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0
2011,Iran (Islamic Rep. of),Andimeshk : Shahrestan - County,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0
2011,Iraq,Wasit : Muhafazah - Province,274,306,,306,980,95,,1961,286,315,,315,1008,83,,2007
2011,Iraq,Thiqar : Muhafazah - Province,216,241,,241,773,75,,1546,225,249,,249,795,66,,1584
2011,Iraq,Sulaymaniyah : Point,204,459,,492,1682,112,,2949,238,470,,495,1821,159,,3183
2011,Iraq,Salaheldin : Muhafazah - Province,195,217,,217,698,69,,1396,203,226,,225,718,59,,1431
2011,Iraq,Qadisiyah : Muhafazah - Province,97,109,,109,348,34,,697,102,112,,112,358,30,,714
2011,Iraq,Ninewa/Mousl : Point,287,342,,321,1134,124,,2208,294,351,,328,1173,105,,2251
2011,Iraq,Najaf : Qadaa - District,3138,3501,,3501,11231,1091,,22462,3273,3614,,3614,11550,954,,23005
2011,Iraq,Muthanna : Muhafazah - Province,77,85,,85,274,27,,548,80,88,,88,282,23,,561
2011,Iraq,Missan : Muhafazah - Province,314,350,,350,1124,109,,2247,328,362,,364,1159,96,,2309
2011,Iraq,Makhmour : Point,897,1394,,458,2191,179,,5119,855,1289,,494,2306,177,,5121
2011,Iraq,Kirkuk : Qadaa - District,126,140,,140,450,44,,900,131,145,,145,463,38,,922
2011,Iraq,Kerbala : Point,503,561,,561,1800,175,,3600,525,579,,579,1852,153,,3688
2011,Iraq,Diala : Muhafazah - Province,215,239,,239,769,75,,1537,224,248,,248,790,66,,1576
2011,Iraq,Dahuk : Muhafazah - Province,491,676,,465,1319,106,,3057,535,735,,478,1497,95,,3340
2011,Iraq,Basrah : Muhafazah - Province,530,618,,604,1927,185,,3864,558,644,,622,1982,161,,3967
2011,Iraq,Baghdad : Point,10722,12249,,12287,40182,4109,,79549,11207,12597,,12673,41449,3675,,81601
2011,Iraq,Babylon : Point,3319,3703,,3703,11879,1154,,23758,3463,3823,,3823,12215,1010,,24334
2011,Iraq,Arbil : Qadaa - District,192,322,,314,1047,82,,1957,210,335,,311,1315,87,,2258
2011,Iraq,Anbar/Al-Waleed : Point,21,31,,39,86,6,,183,21,41,,27,138,13,,240
2011,Iraq,Anbar : Muhafazah - Province,337,377,,377,1208,117,,2416,352,388,,388,1242,103,,2473
2011,Mali,Sikasso : Point,0,0,,0,0,0,0,0,0,0,,0,5,0,0,5
2011,Mali,Kayes : Point,1272,1637,,1029,1856,149,0,5943,1426,1734,,1051,1997,194,0,6402
2011,Mali,Faragouana : Point,4,3,,2,15,1,0,25,6,5,,4,8,0,0,23
2011,Mali,Bamako : Point,190,199,,274,1299,21,0,1983,203,260,,295,2943,39,0,3740
2011,Russian Federation,Sankt-peterburg : Oblast - Region,1,0,,3,0,0,0,4,0,1,,2,19,0,0,22
2011,Russian Federation,Russian Federation : Dispersed in the country / territory,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0
2011,Russian Federation,Moskva : Oblast - Region,2,1,,4,19,0,0,26,2,1,,24,1,0,0,28
2011,Russian Federation,Chechnya Rep. : Republic,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0
2011,Somalia,Mudug : Gobolka - Region,9676,9037,,5796,16817,1290,0,42616,9041,9684,,5795,15549,1299,0,41368
2011,Somalia,Bari : Gobolka - Region,5952,5609,,3535,10705,787,0,26588,5578,5984,,3540,10601,802,0,26505
2011,Somalia,Woqooyi Galbeed : Gobolka - Region,5145,4799,,3088,8917,687,,22636,4800,5147,,3087,8232,688,,21954
