Year,Country / territory of asylum/residence,Origin,Refugees (incl. refugee-like situations),Asylum-seekers (pending cases),Returned refugees,Internally displaced persons (IDPs),Returned IDPs,Stateless persons,Others of concern,Total Population
2005,Hungary,Iraq,1252,3,,,,,,1255
2005,Hungary,Russian Federation,129,10,,,,,,139
2005,Hungary,Somalia,155,1,,,,,,156
2005,Hungary,Serbia and Kosovo (S/RES/1244 (1999)),2388,56,143,,,,,2587
2005,Hungary,Syrian Arab Rep.,44,5,,,,,,49
2005,Ireland,Afghanistan,77,,,,,,,77
2005,Ireland,Eritrea,48,,,,,,,48
2005,Ireland,Gambia,5,,,,,,,5
2005,Ireland,Iran (Islamic Rep. of),162,,,,,,,162
2005,Ireland,Iraq,257,,,,,,,257
2005,Ireland,Russian Federation,287,,,,,,,287
2005,Ireland,Somalia,309,,,,,,,309
2005,Ireland,Serbia and Kosovo (S/RES/1244 (1999)),368,,1,,,,,369
2005,Ireland,Syrian Arab Rep.,27,,,,,,,27
2005,Netherlands,Afghanistan,25086,1478,206,,,,,26770
2005,Netherlands,Eritrea,494,179,,,,,,673
2005,Netherlands,Gambia,7,7,,,,,,14
2005,Netherlands,Iran (Islamic Rep. of),5573,688,,,,,,6261
2005,Netherlands,Iraq,26618,1818,,,,,,28436
2005,Netherlands,Mali,9,6,,,,,,15
2005,Netherlands,Russian Federation,1466,350,,,,,,1816
2005,Netherlands,Somalia,10715,674,,,,,,11389
2005,Netherlands,Serbia and Kosovo (S/RES/1244 (1999)),3236,506,133,,,,,3875
2005,Netherlands,Syrian Arab Rep.,1674,336,,,,,,2010
2005,Poland,Afghanistan,87,,,,,,,87
2005,Poland,Eritrea,1,,,,,,,1
2005,Poland,Iran (Islamic Rep. of),9,,,,,,,9
2005,Poland,Iraq,47,,,,,,,47
2005,Poland,Russian Federation,3785,1503,,,,,,5288
2005,Poland,Somalia,157,,,,,,,157
2005,Poland,Serbia and Kosovo (S/RES/1244 (1999)),16,,1,,,,,17
2005,Poland,Syrian Arab Rep.,6,7,,,,,,13
2005,Portugal,Afghanistan,5,,,,,,,5
2005,Portugal,Gambia,1,,,,,,,1
2005,Portugal,Iran (Islamic Rep. of),1,,,,,,,1
2005,Portugal,Iraq,4,,,,,,,4
2005,Portugal,Russian Federation,1,,,,,,,1
2005,Portugal,Serbia and Kosovo (S/RES/1244 (1999)),1,,,,,,,1
2005,Sweden,Afghanistan,4264,699,6,,,,,4969
2005,Sweden,Eritrea,822,590,,,,,,1412
2005,Sweden,Gambia,9,6,,,,,,15
2005,Sweden,Iran (Islamic Rep. of),5016,844,,,,,,5860
2005,Sweden,Iraq,21046,2136,,,,,,23182
2005,Sweden,Mali,2,6,,,,,,8
2005,Sweden,Russian Federation,1178,535,,,,,,1713
2005,Sweden,Somalia,3486,992,,,,,,4478
2005,Sweden,Serbia and Kosovo (S/RES/1244 (1999)),11953,2260,355,,,,,14568
2005,Sweden,Syrian Arab Rep.,1032,367,,,,,,1399
2006,Austria,Afghanistan,3664,1575,22,,,,,5261
2006,Austria,Eritrea,24,13,,,,,,37
2006,Austria,Gambia,19,306,,,,,,325
2006,Austria,Iran (Islamic Rep. of),1679,855,,,,,,2534
2006,Austria,Iraq,1179,643,,,,,,1822
2006,Austria,Mali,1,43,,,,,,44
2006,Austria,Russian Federation,8723,6977,,,,,,15700
2006,Austria,Somalia,266,176,,,,,,442
2006,Austria,Serbia and Kosovo (S/RES/1244 (1999)),5485,6532,492,,,,,12509
2006,Austria,Syrian Arab Rep.,167,290,,,,,,457
2006,Belgium,Afghanistan,226,17,6,,,,,249
2006,Belgium,Eritrea,5,14,,,,,,19
2006,Belgium,Gambia,,2,,,,,,2
2006,Belgium,Iran (Islamic Rep. of),379,432,,,,,,811
2006,Belgium,Iraq,253,736,,,,,,989
2006,Belgium,Mali,,6,,,,,,6
2006,Belgium,Russian Federation,5425,730,,,,,,6155
2006,Belgium,Somalia,111,58,,,,,,169
2006,Belgium,Serbia and Kosovo (S/RES/1244 (1999)),1606,294,155,,,,,2055
2006,Belgium,Syrian Arab Rep.,100,153,,,,,,253
2006,Germany,Afghanistan,21879,3999,172,,,,,26050
2006,Germany,Eritrea,2276,860,,,,,,3136
2006,Germany,Gambia,137,140,,,,,,277
2006,Germany,Iran (Islamic Rep. of),13213,3924,,,,,,17137
2006,Germany,Iraq,36205,5228,,,,,,41433
2006,Germany,Mali,43,19,,,,,,62
2006,Germany,Russian Federation,25347,3521,,,,,,28868
2006,Germany,Somalia,2165,269,,,,,,2434
2006,Germany,Serbia and Kosovo (S/RES/1244 (1999)),75211,7685,2772,,,,,85668
2006,Germany,Syrian Arab Rep.,5845,2117,,,,,,7962
2006,Denmark,Afghanistan,6306,61,5,,,,,6372
2006,Denmark,Eritrea,55,7,,,,,,62
2006,Denmark,Iran (Islamic Rep. of),1617,43,,,,,,1660
2006,Denmark,Iraq,9902,52,,,,,,9954
2006,Denmark,Russian Federation,485,12,,,,,,497
2006,Denmark,Somalia,5100,23,,,,,,5123
2006,Denmark,Serbia and Kosovo (S/RES/1244 (1999)),3075,28,146,,,,,3249
2006,Denmark,Syrian Arab Rep.,213,11,,,,,,224
2006,Spain,Afghanistan,74,,,,,,,74
2006,Spain,Eritrea,5,,,,,,,5
2006,Spain,Gambia,11,,,,,,,11
2006,Spain,Iran (Islamic Rep. of),85,,,,,,,85
2006,Spain,Iraq,245,,,,,,,245
2006,Spain,Russian Federation,492,,,,,,,492
2006,Spain,Somalia,147,,,,,,,147
2006,Spain,Serbia and Kosovo (S/RES/1244 (1999)),81,,15,,,,,96
2006,Spain,Syrian Arab Rep.,21,,,,,,,21
2006,Finland,Afghanistan,1883,59,2,,,,,1944
2006,Finland,Eritrea,49,2,,,,,,51
2006,Finland,Gambia,1,17,,,,,,18
2006,Finland,Iran (Islamic Rep. of),1806,59,,,,,,1865
2006,Finland,Iraq,1679,128,,,,,,1807
2006,Finland,Mali,,4,,,,,,4
2006,Finland,Russian Federation,277,84,,,,,,361
2006,Finland,Somalia,1042,116,,,,,,1158
2006,Finland,Serbia and Kosovo (S/RES/1244 (1999)),1321,142,47,,,,,1510
2006,Finland,Syrian Arab Rep.,42,12,,,,,,54
2006,France,Afghanistan,1238,,4,,,,,1242
2006,France,Eritrea,104,,,,,,,104
2006,France,Gambia,45,,,,,,,45
2006,France,Iran (Islamic Rep. of),1617,,,,,,,1617
2006,France,Iraq,1318,,,,,,,1318
2006,France,Mali,163,,,,,,,163
2006,France,Russian Federation,5945,,,,,,,5945
2006,France,Somalia,612,,,,,,,612
2006,France,Serbia and Kosovo (S/RES/1244 (1999)),7334,,160,,,,,7494
2006,France,Syrian Arab Rep.,216,,,,,,,216
2006,United Kingdom,Afghanistan,23069,,523,,,,,23592
2006,United Kingdom,Eritrea,4901,,,,,,,4901
2006,United Kingdom,Gambia,200,,,,,,,200
2006,United Kingdom,Iran (Islamic Rep. of),9566,,7,,,,,9573
2006,United Kingdom,Iraq,21984,,103,,,,,22087
2006,United Kingdom,Mali,4,,,,,,,4
2006,United Kingdom,Russian Federation,1970,,,,,,,1970
2006,United Kingdom,Somalia,34138,,7,,,,,34145
2006,United Kingdom,Serbia and Kosovo (S/RES/1244 (1999)),18331,,189,,,,,18520
2006,United Kingdom,Syrian Arab Rep.,286,,,,,,,286
2006,Hungary,Afghanistan,2357,4,,,,,,2361
2006,Hungary,Eritrea,3,,,,,,,3
2006,Hungary,Gambia,,1,,,,,,1
2006,Hungary,Iran (Islamic Rep. of),160,7,,,,,,167
2006,Hungary,Iraq,1235,17,,,,,,1252
2006,Hungary,Russian Federation,134,9,,,,,,143
2006,Hungary,Somalia,181,5,,,,,,186
2006,Hungary,Serbia and Kosovo (S/RES/1244 (1999)),2359,88,109,,,,,2556
2006,Hungary,Syrian Arab Rep.,46,14,,,,,,60
2006,Ireland,Afghanistan,99,112,,,,,,211
2006,Ireland,Eritrea,55,35,,,,,,90
2006,Ireland,Gambia,6,5,,,,,,11
2006,Ireland,Iran (Islamic Rep. of),365,137,,,,,,502
2006,Ireland,Iraq,338,119,,,,,,457
2006,Ireland,Mali,,2,,,,,,2
2006,Ireland,Russian Federation,292,56,,,,,,348
2006,Ireland,Somalia,408,161,,,,,,569
2006,Ireland,Serbia and Kosovo (S/RES/1244 (1999)),376,42,2,,,,,420
2006,Ireland,Syrian Arab Rep.,29,12,,,,,,41
2006,Netherlands,Afghanistan,21357,1293,162,,,,,22812
2006,Netherlands,Eritrea,690,106,,,,,,796
2006,Netherlands,Gambia,6,5,,,,,,11
2006,Netherlands,Iran (Islamic Rep. of),4344,1010,,,,,,5354
2006,Netherlands,Iraq,21782,1947,,,,,,23729
2006,Netherlands,Mali,7,3,,,,,,10
2006,Netherlands,Russian Federation,1362,219,,,,,,1581
2006,Netherlands,Somalia,8086,712,,,,,,8798
2006,Netherlands,Serbia and Kosovo (S/RES/1244 (1999)),2634,790,146,,,,,3570
2006,Netherlands,Syrian Arab Rep.,1559,362,,,,,,1921
2006,Poland,Afghanistan,79,,,,,,,79
2006,Poland,Eritrea,1,1,,,,,,2
2006,Poland,Gambia,,2,,,,,,2
2006,Poland,Iran (Islamic Rep. of),8,,,,,,,8
2006,Poland,Iraq,56,23,,,,,,79
2006,Poland,Russian Federation,6024,1771,,,,,,7795
2006,Poland,Somalia,135,4,,,,,,139
2006,Poland,Serbia and Kosovo (S/RES/1244 (1999)),13,7,1,,,,,21
2006,Poland,Syrian Arab Rep.,7,2,,,,,,9
2006,Portugal,Afghanistan,5,,,,,,,5
2006,Portugal,Eritrea,4,,,,,,,4
2006,Portugal,Gambia,1,,,,,,,1
2006,Portugal,Iran (Islamic Rep. of),1,,,,,,,1
2006,Portugal,Iraq,4,,,,,,,4
2006,Portugal,Russian Federation,4,,,,,,,4
2006,Portugal,Serbia and Kosovo (S/RES/1244 (1999)),2,,,,,,,2
2006,Sweden,Afghanistan,4278,591,,,,,,4869
2006,Sweden,Eritrea,1051,589,,,,,,1640
2006,Sweden,Gambia,18,11,,,,,,29
2006,Sweden,Iran (Islamic Rep. of),5205,616,,,,,,5821
2006,Sweden,Iraq,23852,5712,,,,,,29564
2006,Sweden,Mali,2,2,,,,,,4
2006,Sweden,Russian Federation,1493,515,,,,,,2008
2006,Sweden,Somalia,4066,489,,,,,,4555
2006,Sweden,Serbia and Kosovo (S/RES/1244 (1999)),12000,1406,255,,,,,13661
2006,Sweden,Syrian Arab Rep.,1065,462,,,,,,1527
2007,Austria,Afghanistan,4191,1544,2,,,,,5737
2007,Austria,Eritrea,29,17,,,,,,46
2007,Austria,Gambia,24,268,,,,,,292
2007,Austria,Iran (Islamic Rep. of),1929,661,,,,,,2590
2007,Austria,Iraq,1366,636,,,,,,2002
2007,Austria,Mali,,33,,,,,,33
2007,Austria,Russian Federation,11571,5561,,,,,,17132
2007,Austria,Somalia,456,318,,,,,,774
2007,Austria,Serbia and Kosovo (S/RES/1244 (1999)),5783,5331,250,,,,,11364
2007,Austria,Syrian Arab Rep.,255,326,,,,,,581
2007,Belgium,Afghanistan,151,0,6,,,,,157
2007,Belgium,Eritrea,11,0,,,,,,11
2007,Belgium,Iran (Islamic Rep. of),347,0,,,,,,347
2007,Belgium,Iraq,292,0,,,,,,292
2007,Belgium,Mali,1,0,,,,,,1
2007,Belgium,Russian Federation,5150,0,,,,,,5150
2007,Belgium,Somalia,94,0,,,,,,94
2007,Belgium,Serbia and Kosovo (S/RES/1244 (1999)),1320,0,11,,,,,1331
2007,Belgium,Syrian Arab Rep.,114,0,,,,,,114
2007,Germany,Afghanistan,24236,2223,46,,,,,26505
2007,Germany,Eritrea,2993,436,,,,,,3429
2007,Germany,Gambia,115,115,,,,,,230
2007,Germany,Iran (Islamic Rep. of),15123,2463,,,,,,17586
2007,Germany,Iraq,34731,5153,,,,,,39884
2007,Germany,Mali,42,12,,,,,,54
2007,Germany,Russian Federation,30424,2295,,,,,,32719
2007,Germany,Somalia,2227,155,,,,,,2382
2007,Germany,Serbia and Kosovo (S/RES/1244 (1999)),91616,3975,84,,,,,95675
2007,Germany,Syrian Arab Rep.,6996,1414,,,,,,8410
2007,Denmark,Afghanistan,5378,58,4,,,,,5440
2007,Denmark,Eritrea,15,2,,,,,,17
2007,Denmark,Gambia,,1,,,,,,1
2007,Denmark,Iran (Islamic Rep. of),771,46,,,,,,817
2007,Denmark,Iraq,8376,154,,,,,,8530
2007,Denmark,Russian Federation,489,40,,,,,,529
2007,Denmark,Somalia,3359,5,,,,,,3364
2007,Denmark,Serbia and Kosovo (S/RES/1244 (1999)),3030,22,12,,,,,3064
2007,Denmark,Syrian Arab Rep.,218,43,,,,,,261
2007,Spain,Afghanistan,69,0,,,,,,69
2007,Spain,Eritrea,14,0,,,,,,14
2007,Spain,Gambia,11,0,,,,,,11
2007,Spain,Iran (Islamic Rep. of),71,0,,,,,,71
2007,Spain,Iraq,240,0,,,,,,240
2007,Spain,Russian Federation,508,0,,,,,,508
2007,Spain,Somalia,127,0,,,,,,127
2007,Spain,Serbia and Kosovo (S/RES/1244 (1999)),77,0,,,,,,77
2007,Spain,Syrian Arab Rep.,21,0,,,,,,21
2007,Finland,Afghanistan,517,44,6,,,,,567
2007,Finland,Eritrea,3,1,,,,,,4
2007,Finland,Gambia,8,3,,,,,,11
2007,Finland,Iran (Islamic Rep. of),238,38,,,,,,276
2007,Finland,Iraq,992,145,,,,,,1137
2007,Finland,Russian Federation,301,78,,,,,,379
2007,Finland,Somalia,1178,53,,,,,,1231
2007,Finland,Serbia and Kosovo (S/RES/1244 (1999)),1133,77,2,,,,,1212
2007,Finland,Syrian Arab Rep.,46,5,,,,,,51
2007,France,Afghanistan,1273,0,4,,,,,1277
2007,France,Eritrea,162,0,,,,,,162
2007,France,Gambia,44,0,,,,,,44
2007,France,Iran (Islamic Rep. of),1633,0,,,,,,1633
2007,France,Iraq,1397,0,,,,,,1397
2007,France,Mali,378,0,,,,,,378
2007,France,Russian Federation,6613,0,,,,,,6613
2007,France,Somalia,650,0,,,,,,650
2007,France,Serbia and Kosovo (S/RES/1244 (1999)),7848,0,68,,,,,7916
2007,France,Syrian Arab Rep.,217,0,,,,,,217
2007,United Kingdom,Afghanistan,23565,0,387,,,,,23952
2007,United Kingdom,Eritrea,6427,0,,,,,,6427
2007,United Kingdom,Gambia,233,0,,,,,,233
2007,United Kingdom,Iran (Islamic Rep. of),10227,0,,,,,,10227
2007,United Kingdom,Iraq,22021,0,18,,,,,22039
2007,United Kingdom,Mali,4,0,,,,,,4
2007,United Kingdom,Russian Federation,1982,0,,,,,,1982
2007,United Kingdom,Somalia,33659,0,1,,,,,33660
2007,United Kingdom,Serbia and Kosovo (S/RES/1244 (1999)),16237,0,6,,,,,16243
2007,United Kingdom,Syrian Arab Rep.,364,0,,,,,,364
2007,Hungary,Afghanistan,2293,19,3,,,,,2315
2007,Hungary,Eritrea,3,1,,,,,,4
2007,Hungary,Iran (Islamic Rep. of),164,3,,,,,,167
2007,Hungary,Iraq,1272,33,,,,,,1305
2007,Hungary,Russian Federation,137,8,,,,,,145
2007,Hungary,Somalia,210,63,,,,,,273
2007,Hungary,Serbia and Kosovo (S/RES/1244 (1999)),2329,500,27,,,,,2856
2007,Hungary,Syrian Arab Rep.,42,26,,,,,,68
2007,Ireland,Afghanistan,106,118,1,,,,,225
2007,Ireland,Eritrea,85,51,,,,,,136
2007,Ireland,Gambia,7,7,,,,,,14
2007,Ireland,Iran (Islamic Rep. of),151,114,,,,,,265
2007,Ireland,Iraq,532,206,,,,,,738
2007,Ireland,Mali,,3,,,,,,3
2007,Ireland,Russian Federation,265,64,,,,,,329
2007,Ireland,Somalia,672,161,,,,,,833
2007,Ireland,Serbia and Kosovo (S/RES/1244 (1999)),352,50,,,,,,402
2007,Ireland,Syrian Arab Rep.,34,13,,,,,,47
2007,Netherlands,Afghanistan,17296,0,21,,,,,17317
2007,Netherlands,Eritrea,777,0,,,,,,777
2007,Netherlands,Gambia,10,0,,,,,,10
2007,Netherlands,Iran (Islamic Rep. of),3396,0,,,,,,3396
2007,Netherlands,Iraq,19234,0,,,,,,19234
2007,Netherlands,Mali,7,0,,,,,,7
2007,Netherlands,Russian Federation,1265,0,,,,,,1265
2007,Netherlands,Somalia,7919,0,,,,,,7919
2007,Netherlands,Serbia and Kosovo (S/RES/1244 (1999)),2149,0,3,,,,,2152
2007,Netherlands,Syrian Arab Rep.,1421,0,,,,,,1421
2007,Poland,Afghanistan,76,3,1,,,,,80
2007,Poland,Eritrea,2,0,,,,,,2
2007,Poland,Gambia,,3,,,,,,3
2007,Poland,Iran (Islamic Rep. of),6,3,,,,,,9
2007,Poland,Iraq,50,3,,,,,,53
2007,Poland,Russian Federation,9355,5653,,,,,,15008
2007,Poland,Somalia,64,12,,,,,,76
2007,Poland,Serbia and Kosovo (S/RES/1244 (1999)),11,0,,,,,,11
2007,Poland,Syrian Arab Rep.,8,4,,,,,,12
2007,Portugal,Afghanistan,6,0,,,,,,6
2007,Portugal,Eritrea,4,,,,,,,4
2007,Portugal,Gambia,1,,,,,,,1
2007,Portugal,Iran (Islamic Rep. of),1,0,,,,,,1
2007,Portugal,Iraq,5,0,,,,,,5
2007,Portugal,Russian Federation,5,0,,,,,,5
2007,Portugal,Serbia and Kosovo (S/RES/1244 (1999)),2,,,,,,,2
2007,Sweden,Afghanistan,2611,624,11,,,,,3246
2007,Sweden,Eritrea,1521,773,,,,,,2294
2007,Sweden,Gambia,9,19,,,,,,28
2007,Sweden,Iran (Islamic Rep. of),1934,756,,,,,,2690
2007,Sweden,Iraq,30423,11382,,,,,,41805
2007,Sweden,Mali,2,1,,,,,,3
2007,Sweden,Russian Federation,1488,648,,,,,,2136
2007,Sweden,Somalia,5332,1943,,,,,,7275
2007,Sweden,Serbia and Kosovo (S/RES/1244 (1999)),9589,2221,39,,,,,11849
2007,Sweden,Syrian Arab Rep.,1081,544,,,,,,1625
2008,Austria,Afghanistan,5387,2016,8,,,,,7411
2008,Austria,Eritrea,34,28,,,,,,62
2008,Austria,Gambia,33,214,,,,,,247
2008,Austria,Iran (Islamic Rep. of),2112,586,,,,,,2698
2008,Austria,Iraq,1972,745,,,,,,2717
2008,Austria,Mali,1,24,,,,,,25
2008,Austria,Russian Federation,14122,5312,,,,,,19434
2008,Austria,Somalia,630,417,,,,,,1047
2008,Austria,Serbia and Kosovo (S/RES/1244 (1999)),6218,4687,252,,,,,11157
2008,Austria,Syrian Arab Rep.,333,357,,,,,,690
2008,Belgium,Afghanistan,196,0,15,,,,,211
2008,Belgium,Eritrea,16,0,,,,,,16
2008,Belgium,Iran (Islamic Rep. of),305,0,,,,,,305
2008,Belgium,Iraq,494,0,,,,,,494
2008,Belgium,Mali,5,0,,,,,,5
2008,Belgium,Russian Federation,3981,0,,,,,,3981
2008,Belgium,Somalia,89,0,,,,,,89
2008,Belgium,Serbia and Kosovo (S/RES/1244 (1999)),1172,0,9,,,,,1181
2008,Belgium,Syrian Arab Rep.,152,0,,,,,,152
2008,Germany,Afghanistan,25108,1729,32,,,,1632,28501
2008,Germany,Eritrea,3480,351,,,,,,3831
2008,Germany,Gambia,114,191,,,,,,305
2008,Germany,Iran (Islamic Rep. of),15816,2388,,,,,,18204
2008,Germany,Iraq,38854,5801,,,,,,44655
2008,Germany,Iraq,,,,,,,7763,7763
2008,Germany,Mali,43,10,,,,,,53
2008,Germany,Russian Federation,35505,1812,,,,,,37317
2008,Germany,Somalia,2190,165,,,,,,2355
2008,Germany,Serbia and Kosovo (S/RES/1244 (1999)),98787,3460,100,,,,,102347
2008,Germany,Serbia and Kosovo (S/RES/1244 (1999)),,,,,,,11500,11500
2008,Germany,Syrian Arab Rep.,8205,1418,,,,,,9623
2008,Denmark,Afghanistan,5214,82,1,,,,,5297
2008,Denmark,Eritrea,18,3,,,,,,21
2008,Denmark,Iran (Islamic Rep. of),805,47,,,,,,852
2008,Denmark,Iraq,7102,125,,,,,,7227
2008,Denmark,Mali,,1,,,,,,1
2008,Denmark,Russian Federation,587,38,,,,,,625
2008,Denmark,Somalia,2483,2,,,,,,2485
2008,Denmark,Serbia and Kosovo (S/RES/1244 (1999)),2936,21,2,,,,,2959
2008,Denmark,Syrian Arab Rep.,272,30,,,,,,302
2008,Spain,Afghanistan,69,0,,,,,,69
2008,Spain,Eritrea,15,0,,,,,,15
2008,Spain,Gambia,2,0,,,,,,2
2008,Spain,Iran (Islamic Rep. of),52,0,,,,,,52
2008,Spain,Iraq,269,0,,,,,,269
2008,Spain,Russian Federation,507,0,,,,,,507
2008,Spain,Somalia,116,0,,,,,,116
2008,Spain,Serbia and Kosovo (S/RES/1244 (1999)),73,0,1,,,,,74
2008,Spain,Syrian Arab Rep.,34,0,,,,,,34
2008,Finland,Afghanistan,578,213,,,,,,791
2008,Finland,Eritrea,4,3,,,,,,7
2008,Finland,Gambia,8,6,,,,,,14
2008,Finland,Iran (Islamic Rep. of),260,109,,,,,,369
2008,Finland,Iraq,1206,872,,,,,,2078
2008,Finland,Russian Federation,347,98,,,,,,445
2008,Finland,Somalia,1219,914,,,,,,2133
2008,Finland,Serbia and Kosovo (S/RES/1244 (1999)),1064,86,1,,,,,1151
2008,Finland,Syrian Arab Rep.,50,15,,,,,,65
2008,France,Afghanistan,1345,0,2,,,,,1347
2008,France,Eritrea,222,0,,,,,,222
2008,France,Gambia,53,0,,,,,,53
2008,France,Iran (Islamic Rep. of),1661,0,,,,,,1661
2008,France,Iraq,1656,0,,,,,,1656
2008,France,Mali,1049,0,,,,,,1049
2008,France,Russian Federation,7615,0,,,,,,7615
2008,France,Somalia,686,0,,,,,,686
2008,France,Serbia and Kosovo (S/RES/1244 (1999)),8395,0,77,,,,,8472
2008,France,Syrian Arab Rep.,233,0,,,,,,233
2008,United Kingdom,Afghanistan,23079,0,347,,,,,23426
2008,United Kingdom,Eritrea,7701,0,,,,,,7701
2008,United Kingdom,Gambia,258,0,,,,,,258
2008,United Kingdom,Iran (Islamic Rep. of),10320,0,,,,,,10320
2008,United Kingdom,Iraq,21483,0,,,,,,21483
2008,United Kingdom,Mali,10,0,,,,,,10
2008,United Kingdom,Russian Federation,1987,0,,,,,,1987
2008,United Kingdom,Somalia,31665,0,,,,,,31665
2008,United Kingdom,Serbia and Kosovo (S/RES/1244 (1999)),15242,0,10,,,,,15252
2008,United Kingdom,Syrian Arab Rep.,395,0,,,,,,395
2008,Hungary,Afghanistan,2110,54,,,,,,2164
2008,Hungary,Eritrea,3,,,,,,,3
2008,Hungary,Iran (Islamic Rep. of),161,6,,,,,,167
2008,Hungary,Iraq,1243,53,,,,,,1296
2008,Hungary,Russian Federation,137,9,,,,,,146
2008,Hungary,Somalia,313,131,,,,,,444
2008,Hungary,Serbia and Kosovo (S/RES/1244 (1999)),2143,1082,19,,,,,3244
2008,Hungary,Syrian Arab Rep.,44,31,,,,,,75
2008,Ireland,Afghanistan,127,122,,,,,,249
2008,Ireland,Eritrea,105,53,,,,,,158
2008,Ireland,Gambia,7,5,,,,,,12
2008,Ireland,Iran (Islamic Rep. of),173,113,,,,,,286
2008,Ireland,Iraq,642,165,,,,,,807
2008,Ireland,Mali,,4,,,,,,4
2008,Ireland,Russian Federation,276,45,,,,,,321
2008,Ireland,Somalia,653,181,,,,,,834
2008,Ireland,Serbia and Kosovo (S/RES/1244 (1999)),355,44,,,,,,399
