Zip Code,Month,Year,Power
90230,3,2008,396
90232,3,2008,297
90247,3,2008,390
90077,4,2008,1610
90094,4,2008,335
90210,4,2008,1865
90212,4,2008,599
90230,4,2008,333
90232,4,2008,252
90247,4,2008,350
90077,5,2008,1732
90094,5,2008,362
90210,5,2008,1935
90212,5,2008,637
90230,5,2008,345
90232,5,2008,255
90247,5,2008,365
90077,6,2008,1757
90094,6,2008,379
90210,6,2008,2087
90212,6,2008,675
90230,6,2008,355
90232,6,2008,285
90247,6,2008,361
90077,7,2008,1985
90094,7,2008,396
90210,7,2008,2383
90212,7,2008,727
90230,7,2008,368
90232,7,2008,291
90247,7,2008,378
90077,8,2008,1982
90094,8,2008,437
90210,8,2008,2356
90212,8,2008,717
90230,8,2008,380
90232,8,2008,306
90247,8,2008,390
90077,9,2008,1908
90094,9,2008,417
90210,9,2008,2241
90212,9,2008,674
90230,9,2008,367
90232,9,2008,297
90247,9,2008,370
90077,10,2008,1903
90094,10,2008,409
90210,10,2008,2153
90212,10,2008,648
90230,10,2008,373
90232,10,2008,278
90247,10,2008,367
90077,11,2008,1728
90094,11,2008,391
90210,11,2008,1961
90212,11,2008,611
90230,11,2008,362
90232,11,2008,267
90247,11,2008,373
90077,12,2008,1764
90094,12,2008,396
90210,12,2008,2031
90212,12,2008,668
90230,12,2008,426
90232,12,2008,282
90247,12,2008,424
90077,1,2009,1724
90094,1,2009,388
90210,1,2009,2049
90212,1,2009,667
90230,1,2009,426
90232,1,2009,282
90247,1,2009,414
90077,2,2009,1538
90094,2,2009,332
90210,2,2009,1794
90212,2,2009,613
90230,2,2009,346
90232,2,2009,243
90247,2,2009,347
90077,3,2009,1626
90094,3,2009,367
90210,3,2009,1885
90212,3,2009,675
90230,3,2009,383
90232,3,2009,265
90247,3,2009,378
90077,4,2009,1565
90094,4,2009,356
90210,4,2009,1794
90212,4,2009,572
90230,4,2009,336
90232,4,2009,238
90247,4,2009,346
90077,5,2009,1605
90094,5,2009,372
90210,5,2009,1827
90212,5,2009,541
90230,5,2009,347
90232,5,2009,245
90247,5,2009,357
90077,6,2009,1639
90094,6,2009,371
90210,6,2009,1927
90212,6,2009,550
90230,6,2009,346
90232,6,2009,253
90247,6,2009,345
90077,7,2009,1870
90094,7,2009,401
90210,7,2009,2184
90212,7,2009,592
90230,7,2009,356
90232,7,2009,265
90247,7,2009,371
90077,8,2009,1914
90094,8,2009,454
90210,8,2009,2260
90212,8,2009,636
90230,8,2009,381
90232,8,2009,304
90247,8,2009,402
90077,9,2009,1913
90094,9,2009,424
90210,9,2009,2227
90212,9,2009,640
90230,9,2009,367
90232,9,2009,298
90247,9,2009,378
90077,10,2009,1877
90094,10,2009,399
90210,10,2009,2109
90212,10,2009,638
90230,10,2009,356
90232,10,2009,249
90247,10,2009,363
90077,11,2009,1652
90094,11,2009,384
90210,11,2009,1905
90212,11,2009,592
90230,11,2009,345
90232,11,2009,239
90247,11,2009,368
90077,12,2009,1696
90094,12,2009,391
90210,12,2009,1947
90212,12,2009,641
90230,12,2009,429
90232,12,2009,286
90247,12,2009,417
90077,1,2010,1669
90094,1,2010,389
90210,1,2010,1919
90212,1,2010,654
90230,1,2010,431
90232,1,2010,293
90247,1,2010,410
90077,2,2010,1488
90094,2,2010,343
90210,2,2010,1706
90212,2,2010,536
90230,2,2010,333
90232,2,2010,226
90247,2,2010,347
90077,3,2010,1577
90094,3,2010,372
90210,3,2010,1830
90212,3,2010,564
90230,3,2010,366
90232,3,2010,244
90247,3,2010,375
90077,4,2010,1501
90094,4,2010,342
90210,4,2010,1741
90212,4,2010,519
90230,4,2010,330
90232,4,2010,233
90247,4,2010,332
90077,5,2010,1500
90094,5,2010,359
90210,5,2010,1775
90212,5,2010,513
90230,5,2010,341
90232,5,2010,241
90247,5,2010,347
90077,6,2010,1501
90094,6,2010,358
90210,6,2010,1791
90212,6,2010,495
90230,6,2010,332
90232,6,2010,236
90247,6,2010,345
90077,7,2010,1659
90094,7,2010,350
90210,7,2010,1926
90212,7,2010,543
90230,7,2010,344
90232,7,2010,242
90247,7,2010,354
90077,8,2010,1733
90094,8,2010,358
90210,8,2010,2047
90212,8,2010,557
90230,8,2010,345
90232,8,2010,253
90247,8,2010,350
90077,9,2010,1794
90094,9,2010,364
90210,9,2010,2078
90212,9,2010,524
90230,9,2010,336
90232,9,2010,247
90247,9,2010,342
90077,10,2010,1796
90094,10,2010,393
90210,10,2010,2041
90212,10,2010,575
90230,10,2010,368
90232,10,2010,261
90247,10,2010,362
90077,11,2010,1634
90094,11,2010,383
90210,11,2010,1871
90212,11,2010,568
90230,11,2010,356
90232,11,2010,254
90247,11,2010,369
90077,12,2010,1676
90094,12,2010,402
90210,12,2010,1937
90212,12,2010,631
90230,12,2010,425
90232,12,2010,277
90247,12,2010,416
90077,1,2011,1652
90094,1,2011,393
90210,1,2011,1944
90212,1,2011,650
90230,1,2011,424
90232,1,2011,278
90247,1,2011,410
90077,2,2011,1484
90094,2,2011,337
90210,2,2011,1722
90212,2,2011,554
90230,2,2011,349
90232,2,2011,232
90247,2,2011,349
90077,3,2011,1622
90094,3,2011,371
90210,3,2011,1860
90212,3,2011,612
90230,3,2011,385
90232,3,2011,258
90247,3,2011,375
90077,4,2011,1534
90094,4,2011,347
90210,4,2011,1754
90212,4,2011,535
90230,4,2011,336
90232,4,2011,230
90247,4,2011,331
90077,5,2011,1507
90094,5,2011,369
90210,5,2011,1765
90212,5,2011,519
90230,5,2011,347
90232,5,2011,234
90247,5,2011,348
90077,6,2011,1537
90094,6,2011,368
90210,6,2011,1804
90212,6,2011,513
90230,6,2011,330
90232,6,2011,223
90247,6,2011,349
90077,7,2011,1741
90094,7,2011,368
90210,7,2011,1999
90212,7,2011,552
90230,7,2011,339
90232,7,2011,227
90247,7,2011,359
90077,8,2011,1760
90094,8,2011,384
90210,8,2011,2067
90212,8,2011,567
90230,8,2011,342
90232,8,2011,247
90247,8,2011,354
90077,9,2011,1726
90094,9,2011,381
90210,9,2011,2051
90212,9,2011,565
90230,9,2011,332
90232,9,2011,240
90247,9,2011,340
90077,10,2011,1733
90094,10,2011,398
90210,10,2011,2029
90212,10,2011,629
90230,10,2011,358
90232,10,2011,235
90247,10,2011,345
90077,11,2011,1594
90094,11,2011,382
90210,11,2011,1902
90212,11,2011,593
90230,11,2011,347
90232,11,2011,230
90247,11,2011,357
90077,12,2011,1636
90094,12,2011,391
90210,12,2011,1954
90212,12,2011,669
90230,12,2011,426
90232,12,2011,262
90247,12,2011,423
90077,1,2012,1605
90094,1,2012,393
90210,1,2012,1934
90212,1,2012,682
90230,1,2012,426
90232,1,2012,267
90247,1,2012,413
90077,2,2012,1488
90094,2,2012,372
90210,2,2012,1746
90212,2,2012,603
90230,2,2012,361
90232,2,2012,233
90247,2,2012,352
90077,3,2012,1587
90094,3,2012,388
90210,3,2012,1809
90212,3,2012,629
90230,3,2012,382
90232,3,2012,249
90247,3,2012,367
90077,4,2012,1491
90094,4,2012,354
90210,4,2012,1720
90212,4,2012,566
90230,4,2012,315
90232,4,2012,215
90247,4,2012,330
90077,5,2012,1459
90094,5,2012,373
90210,5,2012,1735
90212,5,2012,568
90230,5,2012,327
90232,5,2012,220
90247,5,2012,344
90077,6,2012,1538
90094,6,2012,374
90210,6,2012,1843
90212,6,2012,592
90230,6,2012,343
90232,6,2012,231
90247,6,2012,337
90077,7,2012,1843
90094,7,2012,407
90210,7,2012,2102
90212,7,2012,629
90230,7,2012,356
90232,7,2012,239
90247,7,2012,361
90077,8,2012,1944
90094,8,2012,457
90210,8,2012,2295
90212,8,2012,751
90230,8,2012,368
90232,8,2012,280
90247,8,2012,391
90077,9,2012,1998
90094,9,2012,427
90210,9,2012,2313
90212,9,2012,755
90230,9,2012,355
90232,9,2012,272
90247,9,2012,366
90077,10,2012,1902
90094,10,2012,414
90210,10,2012,2130
90212,10,2012,647
90230,10,2012,358
90232,10,2012,250
90247,10,2012,357
90077,11,2012,1616
90094,11,2012,397
90210,11,2012,1867
90212,11,2012,602
90230,11,2012,349
90232,11,2012,241
90247,11,2012,364
90247,6,2012,339
90077,12,2012,1665
90094,12,2012,407
90210,12,2012,1963
90212,12,2012,706
90230,12,2012,432
90232,12,2012,271
90247,12,2012,413
90077,1,2013,1652
90094,1,2013,396
90210,1,2013,2002
90212,1,2013,713
90230,1,2013,430
90232,1,2013,271
90247,1,2013,402
90077,2,2013,1449
90094,2,2013,330
90210,2,2013,1672
90212,2,2013,562
90230,2,2013,334
90232,2,2013,214
90247,2,2013,337
90077,3,2013,1481
90094,3,2013,361
90210,3,2013,1701
90212,3,2013,550
90230,3,2013,366
90232,3,2013,230
90247,3,2013,361
90077,4,2013,1456
90094,4,2013,340
90210,4,2013,1675
90212,4,2013,549
90230,4,2013,321
90232,4,2013,209
90247,4,2013,321
90077,5,2013,1566
90094,5,2013,370
90210,5,2013,1774
90212,5,2013,591
90230,5,2013,332
90232,5,2013,216
90247,5,2013,337
90077,6,2013,1563
90094,6,2013,387
90210,6,2013,1832
90212,6,2013,613
90230,6,2013,328
90232,6,2013,225
